epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7347.56,0.74459,0.60523,1.09105,0.61689,0.48407,0.49336,0.33778,1.22406,1.57254,1.44145,0.000359,0.000359,0.000359
74,7447.28,0.72633,0.59815,1.06897,0.63871,0.4766,0.48831,0.33402,1.21749,1.59236,1.44401,0.000346625,0.000346625,0.000346625
75,7546.64,0.72396,0.58975,1.07078,0.63274,0.46028,0.48601,0.33447,1.21677,1.58661,1.44214,0.00033425,0.00033425,0.00033425
76,7646.67,0.71358,0.57929,1.06685,0.62444,0.4777,0.49282,0.34285,1.20128,1.58397,1.42192,0.000321875,0.000321875,0.000321875
77,7746.26,0.71376,0.5702,1.06067,0.59939,0.4729,0.4766,0.32467,1.19068,1.59075,1.42349,0.0003095,0.0003095,0.0003095
78,7845.96,0.71542,0.56373,1.05929,0.69084,0.44155,0.48921,0.33178,1.23959,1.60862,1.45899,0.000297125,0.000297125,0.000297125
79,7945.2,0.70329,0.55102,1.05398,0.63599,0.45073,0.4925,0.33638,1.22028,1.63807,1.43372,0.00028475,0.00028475,0.00028475
80,8045.79,0.69205,0.54339,1.04586,0.64341,0.47665,0.49727,0.34044,1.22484,1.57848,1.45061,0.000272375,0.000272375,0.000272375
81,8147.01,0.69288,0.54371,1.05124,0.63371,0.47753,0.49142,0.33478,1.22735,1.59631,1.4512,0.00026,0.00026,0.00026
82,8246.84,0.67206,0.52407,1.04138,0.66315,0.43644,0.48498,0.32812,1.22893,1.64042,1.4517,0.000247625,0.000247625,0.000247625
83,8346.37,0.68267,0.52772,1.04351,0.60372,0.4746,0.49164,0.33516,1.20933,1.61816,1.44469,0.00023525,0.00023525,0.00023525
84,8446.71,0.68026,0.53134,1.04882,0.66853,0.43675,0.48253,0.32806,1.22845,1.67388,1.45082,0.000222875,0.000222875,0.000222875
85,8546.5,0.669,0.51259,1.04017,0.62482,0.49004,0.49685,0.33884,1.21891,1.63772,1.45119,0.0002105,0.0002105,0.0002105
86,8646.33,0.67102,0.51751,1.03843,0.63132,0.46551,0.48716,0.33758,1.22339,1.64649,1.45688,0.000198125,0.000198125,0.000198125
87,8745.61,0.66103,0.5004,1.03586,0.66111,0.46818,0.49948,0.34302,1.23618,1.64363,1.46995,0.00018575,0.00018575,0.00018575
88,8845.87,0.64808,0.48698,1.02771,0.6493,0.46202,0.49663,0.34172,1.24886,1.64627,1.47343,0.000173375,0.000173375,0.000173375
89,8945.59,0.64957,0.49247,1.02595,0.66353,0.44327,0.49303,0.34423,1.21133,1.66935,1.44403,0.000161,0.000161,0.000161
90,9045.43,0.6416,0.47645,1.0283,0.65595,0.45281,0.49069,0.33564,1.25497,1.65392,1.4929,0.000148625,0.000148625,0.000148625
91,9145.49,0.6042,0.41806,0.97268,0.64821,0.46254,0.48597,0.33236,1.25013,1.62439,1.49361,0.00013625,0.00013625,0.00013625
92,9245.69,0.594,0.39109,0.96355,0.66642,0.43549,0.48633,0.33093,1.24857,1.64237,1.48779,0.000123875,0.000123875,0.000123875
93,9345.3,0.59214,0.3874,0.96688,0.61858,0.46858,0.4819,0.32911,1.27058,1.70471,1.5126,0.0001115,0.0001115,0.0001115
94,9444.81,0.58519,0.37469,0.96091,0.62227,0.4588,0.47884,0.32959,1.27304,1.69944,1.52615,9.9125e-05,9.9125e-05,9.9125e-05
95,9544.26,0.57291,0.36095,0.95461,0.6594,0.44469,0.48093,0.33305,1.25955,1.70155,1.51976,8.675e-05,8.675e-05,8.675e-05
96,9644.08,0.56621,0.35609,0.94753,0.63492,0.45311,0.48234,0.33135,1.25803,1.70039,1.51779,7.4375e-05,7.4375e-05,7.4375e-05
97,9743.57,0.56024,0.35553,0.94367,0.65065,0.4552,0.48191,0.3302,1.26885,1.71273,1.52402,6.2e-05,6.2e-05,6.2e-05
98,9843.43,0.55955,0.35369,0.94292,0.64462,0.45666,0.4857,0.32905,1.26283,1.69949,1.50988,4.9625e-05,4.9625e-05,4.9625e-05
99,9942.58,0.55721,0.35114,0.94153,0.65152,0.44836,0.48226,0.33233,1.25588,1.71445,1.50551,3.725e-05,3.725e-05,3.725e-05
100,10042.3,0.55471,0.34448,0.94968,0.64288,0.452,0.48522,0.33298,1.25275,1.69971,1.5005,2.4875e-05,2.4875e-05,2.4875e-05
